Distance_m,X_m,Y_m,Z_m,Curvature_1/m,Speed_kph,gLat_g,gLong_g,mu_Longitudinal,mu_Lateral,mu_Combined,NormalLoad_per_Tyre_N,LongForce_per_Tyre_N,LatForce_per_Tyre_N,DrivingPhase
0.0,-267.7320452,-848.6222413,0.0,-0.018369673809204172,114.6227391955406,0.0,0.0,0.0,0.0,0.0,674.4375,0.0,0.0,Cruise
7.068792917075575,-274.7653538,-849.3296333,0.0,-0.018369673809204172,114.6227391955406,-1.8983181551509996,0.0,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Cornering
10.93301011707556,-278.629571,-849.3296333,0.0,-0.005586861630047595,106.23229020191648,-0.4959147148997253,-1.8859360465398807,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
13.881048201184583,-281.5770754,-849.2735409,0.0,-0.02547075360501631,97.34207368335285,-1.8983180331258411,-2.4143394480659275,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
16.986350393405683,-284.668072,-848.9758133,0.0,-0.005359987111561399,97.5203065398353,-0.40094043016307984,0.043985334199968605,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Cornering
20.128435812128064,-287.7902007,-848.6222413,0.0,-0.0317645579602332,87.16659519739581,-1.8983180267764352,-2.393371728692831,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
23.34610436663712,-290.9347719,-847.9402861,0.0,-0.002482394081379311,91.65086081122546,-0.16400980598841242,0.980067369839691,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Acceleration
29.50364935866942,-296.9368402,-846.5653183,0.0,0.013017601436505146,76.76971562122417,0.6034437940629834,-1.6007367106149855,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
32.09763231868256,-299.4941893,-846.130907,0.0,0.05562333487246968,65.87080605619639,1.898318019073667,-2.3569742835888547,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
35.58811931868253,-302.9846763,-846.130907,0.0,0.06283057216430864,61.97777532865943,1.8983180288179105,-0.5607815486013779,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
40.3897984216746,-307.6285458,-847.3518076,0.0,0.015536256938380398,71.33780175112788,0.6218875052744328,1.0220233880827303,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
44.909171213310024,-311.9049178,-848.8137833,0.0,-0.03777071182522952,79.04138244882753,-1.8560523261620152,1.008087406906627,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
49.203516685077744,-316.1417029,-849.5145365,0.0,-0.05113800966008408,68.69886865482435,-1.898318071417962,-1.3993422838597445,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
54.5169133061577,-321.4386103,-849.0962595,0.0,-0.06339101198000716,60.007191525815344,-1.7953961045228055,-0.8279923831608156,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
57.20661430605499,-323.9833641,-848.2252144,0.0,-0.12027176691449003,44.79604229417696,-1.8983180375241637,-2.3309271560551426,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
61.08706134006727,-326.9170733,-845.6852893,0.0,-0.22700617980721727,32.60638476644609,-1.8983180158801245,-0.9562254943797103,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
64.49816690121335,-327.3248679,-842.2986472,0.0,0.008749489205123516,46.725486858227406,0.15025065059437712,1.2913846353272593,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Acceleration
68.28481855379296,-327.8956708,-838.5552644,0.0,0.09793077888541434,49.64344260501364,1.8983180673824183,0.29204943908480513,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
71.63272836524364,-329.4781139,-835.6049468,0.0,0.196392372133163,35.055743493864206,1.8983180263729933,-1.4514038784290861,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
73.0012533395591,-330.5851222,-834.8003393,0.0,2.6473070127223835e-09,40.99360379192569,3.4991495144783224e-08,1.297683356722266,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Acceleration
75.18416249801618,-332.3508909,-833.5169246,0.0,-0.0007733699759087722,48.48399952340792,-0.014299148464898291,1.2074785879718328,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Acceleration
79.2535393521992,-335.636841,-831.116433,0.0,-1.7614905274954245e-09,58.85559670916101,-4.7993435332604085e-08,1.0759043994270503,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Acceleration
85.20321164311758,-340.4410965,-827.6067707,0.0,2.042636488696555e-09,70.82745007481452,8.059726228983232e-08,1.0262367059018025,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Acceleration
