Motor Speed [RPM],Continuous Power [kW],Peak Power [kW]
785.7857858,11.84356023,16.04500171
790.7907908,11.91743198,16.13812252
795.7957958,11.991295,16.23119267
800.8008008,12.06514949,16.32421337
805.8058058,12.13899566,16.41718584
810.8108108,12.21283372,16.51011128
815.8158158,12.28666389,16.60299091
820.8208208,12.36048637,16.69582594
825.8258258,12.43430136,16.78861758
830.8308308,12.50810909,16.88136704
835.8358358,12.58190975,16.97407554
840.8408408,12.65570356,17.06674429
845.8458458,12.72949072,17.1593745
850.8508509,12.80327145,17.25196737
855.8558559,12.87704594,17.34452414
860.8608609,12.95081443,17.43704599
865.8658659,13.0245771,17.52953416
870.8708709,13.09833417,17.62198984
875.8758759,13.17208585,17.71441426
880.8808809,13.24583235,17.80680861
885.8858859,13.31957388,17.89917413
890.8908909,13.39331064,17.99151201
895.8958959,13.46704284,18.08382347
900.9009009,13.5407707,18.17610972
905.9059059,13.61449443,18.26837197
910.9109109,13.68821422,18.36061144
915.9159159,13.76193029,18.45282934
920.9209209,13.83564286,18.54502687
925.9259259,13.90935212,18.63720526
930.9309309,13.98305829,18.72936571
935.9359359,14.05676158,18.82150943
940.9409409,14.13046219,18.91363764
945.9459459,14.20416033,19.00575155
950.950951,14.27785622,19.09785237
955.955956,14.35155006,19.18994131
960.960961,14.42524206,19.28201959
965.965966,14.49893244,19.37408842
970.970971,14.57262139,19.466149
975.975976,14.64630913,19.55820255
980.980981,14.71999586,19.65025029
985.985986,14.79368181,19.74229342
990.990991,14.86736716,19.83433316
995.995996,14.94105215,19.92637071
1001.001001,15.01473696,20.0184073
1006.006006,15.08842182,20.11044413
1011.011011,15.16210692,20.20248241
1016.016016,15.23579249,20.29452336
1021.021021,15.30947872,20.38656819
1026.026026,15.38316584,20.4786181
1031.031031,15.45685403,20.57067432
1036.036036,15.53054353,20.66273806
1041.041041,15.60423453,20.75481052
1046.046046,15.67792724,20.84689292
1051.051051,15.75162188,20.93898646
1056.056056,15.82531864,21.03109237
1061.061061,15.89901775,21.12321186
1066.066066,15.97271941,21.21534613
1071.071071,16.04642382,21.3074964
1076.076076,16.1201312,21.39966388
1081.081081,16.19384176,21.49184978
1086.086086,16.2675557,21.58405531
1091.091091,16.34127324,21.67628169
1096.096096,16.41499458,21.76853013
1101.101101,16.48871993,21.86080183
1106.106106,16.56244951,21.95309802
1111.111111,16.63618351,22.04541991
1116.116116,16.70992215,22.13776869
1121.121121,16.78366564,22.2301456
1126.126126,16.85741419,22.32255184
1131.131131,16.931168,22.41498861
1136.136136,17.00492729,22.50745714
1141.141141,17.07869226,22.59995864
1146.146146,17.15246312,22.69249431
1151.151151,17.22624009,22.78506537
1156.156156,17.30002336,22.87767304
1161.161161,17.37381316,22.97031852
1166.166166,17.44760968,23.06300302
1171.171171,17.52141314,23.15572776
1176.176176,17.59522375,23.24849395
1181.181181,17.66904171,23.3413028
1186.186186,17.74286724,23.43415552
1191.191191,17.81670054,23.52705333
1196.196196,17.89054182,23.61999744
1201.201201,17.9643913,23.71298905
1206.206206,18.03824917,23.80602939
1211.211211,18.11211566,23.89911966
1216.216216,18.18599096,23.99226107
1221.221221,18.25987529,24.08545484
1226.226226,18.33376885,24.17870218
1231.231231,18.40767186,24.2720043
1236.236236,18.48158452,24.36536241
1241.241241,18.55550705,24.45877773
1246.246246,18.62943965,24.55225147
1251.251251,18.70338253,24.64578483
1256.256256,18.7773359,24.73937903
1261.261261,18.85129996,24.83303529
1266.266266,18.92527494,24.92675481
1271.271271,18.99926103,25.02053881
1276.276276,19.07325845,25.1143885
1281.281281,19.1472674,25.20830508
1286.286286,19.2212881,25.30228978
1291.291291,19.29532075,25.39634381
1296.296296,19.36936556,25.49046837
1301.301301,19.44342274,25.58466468
1306.306306,19.51749249,25.67893395
1311.311311,19.59157504,25.77327739
1316.316316,19.66567059,25.86769621
1321.321321,19.73977934,25.96219163
1326.326326,19.8139015,26.05676486
1331.331331,19.8880373,26.15141711
1336.336336,19.96218692,26.2461496
1341.341341,20.03635058,26.34096352
1346.346346,20.1105285,26.43586011
1351.351351,20.18472088,26.53084056
1356.356356,20.25892792,26.62590609
1361.361361,20.33314985,26.72105791
1366.366366,20.40738686,26.81629723
1371.371371,20.48163917,26.91162528
1376.376376,20.55590698,27.00704325
1381.381381,20.6301905,27.10255236
1386.386386,20.70448995,27.19815382
1391.391391,20.77880553,27.29384884
1396.396396,20.85313745,27.38963864
1401.401401,20.92748592,27.48552443
1406.406406,21.00185115,27.58150742
1411.411411,21.07623334,27.67758882
1416.416416,21.15063271,27.77376984
1421.421421,21.22504947,27.8700517
1426.426426,21.29948382,27.96643561
1431.431431,21.37393598,28.06292278
1436.436436,21.44840615,28.15951441
1441.441441,21.52289454,28.25621173
1446.446446,21.59740136,28.35301595
1451.451451,21.67192681,28.44992827
1456.456456,21.74647112,28.54694992
1461.461461,21.82103448,28.64408209
1466.466466,21.89561711,28.74132601
1471.471471,21.97021922,28.83868288
1476.476476,22.04484101,28.93615392
1481.481481,22.11948269,29.03374034
1486.486486,22.19414447,29.13144335
1491.491491,22.26882657,29.22926416
1496.496496,22.34352918,29.32720399
1501.501502,22.41825253,29.42526405
1506.506507,22.49299681,29.52344554
1511.511512,22.56776223,29.62174968
1516.516517,22.64254902,29.72017769
1521.521522,22.71735736,29.81873077
1526.526527,22.79218749,29.91741014
1531.531532,22.86703959,30.01621701
1536.536537,22.94191389,30.11515259
1541.541542,23.01681058,30.21421809
1546.546547,23.09172989,30.31341473
1551.551552,23.16667201,30.41274371
1556.556557,23.24163716,30.51220625
1561.561562,23.31662555,30.61180357
1566.566567,23.39163738,30.71153686
1571.571572,23.46667287,30.81140735
1576.576577,23.54173222,30.91141625
1581.581582,23.61681564,31.01156476
1586.586587,23.69192335,31.1118541
1591.591592,23.76705554,31.21228549
1596.596597,23.84221243,31.31286013
1601.601602,23.91739423,31.41357924
1606.606607,23.99260115,31.51444403
1611.611612,24.06783339,31.6154557
1616.616617,24.14309117,31.71661548
