Motor Speed [RPM],Peak Power [kW]
0,0
500,0
1000,9
1500,14
2000,21
2500,27
3000,33
3500,39
4000,40
4500,42
5000,45
5500,47
6000,50
6500,54
7000,56
7500,58
8000,58
8500,59
9000,60
9500,62
10000,65
10500,65
11000,64
11500,64
12000,63
12500,62
13000,58
13500,55
14000,50
