Slip Angle [deg],Lateral Force [N],Normal Load [N],Camber Angle [deg],Tyre Pressure [kPa],Temperature [C]
6.99,659.4,200.0,0,200,25
7.02,660.44,200.0,0,200,25
7.07,655.98,200.0,0,200,25
7.12,642.52,200.0,0,200,25
7.15,626.05,200.0,0,200,25
7.18,613.04,200.0,0,200,25
7.22,608.25,200.0,0,200,25
7.26,610.77,200.0,0,200,25
7.33,619.55,200.0,0,200,25
7.35,633.31,200.0,0,200,25
7.4,645.56,200.0,0,200,25
7.44,654.04,200.0,0,200,25
7.46,659.8,200.0,0,200,25
7.5,659.97,200.0,0,200,25
7.54,649.36,200.0,0,200,25
7.58,631.68,200.0,0,200,25
7.62,615.82,200.0,0,200,25
7.69,606.39,200.0,0,200,25
7.69,605.4,200.0,0,200,25
7.75,608.04,200.0,0,200,25
7.78,619.38,200.0,0,200,25
7.81,631.28,200.0,0,200,25
7.87,643.16,200.0,0,200,25
7.89,650.55,200.0,0,200,25
7.95,652.46,200.0,0,200,25
7.97,648.9,200.0,0,200,25
8.02,635.65,200.0,0,200,25
8.05,618.44,200.0,0,200,25
8.11,603.96,200.0,0,200,25
8.15,598.88,200.0,0,200,25
8.19,602.66,200.0,0,200,25
8.21,609.36,200.0,0,200,25
8.26,620.2,200.0,0,200,25
8.31,634.32,200.0,0,200,25
8.36,642.74,200.0,0,200,25
8.4,647.54,200.0,0,200,25
8.43,646.18,200.0,0,200,25
8.45,635.95,200.0,0,200,25
8.5,618.56,200.0,0,200,25
8.54,603.4,200.0,0,200,25
8.58,592.96,200.0,0,200,25
8.63,591.45,200.0,0,200,25
8.65,595.94,200.0,0,200,25
8.71,607.91,200.0,0,200,25
8.75,622.36,200.0,0,200,25
8.8,633.33,200.0,0,200,25
8.83,643.54,200.0,0,200,25
8.85,646.27,200.0,0,200,25
8.89,641.93,200.0,0,200,25
8.95,628.42,200.0,0,200,25
8.97,610.9,200.0,0,200,25
9.0,597.55,200.0,0,200,25
9.05,592.16,200.0,0,200,25
9.1,592.96,200.0,0,200,25
9.15,600.4,200.0,0,200,25
9.18,612.6,200.0,0,200,25
9.21,625.74,200.0,0,200,25
9.28,636.5,200.0,0,200,25
9.32,640.39,200.0,0,200,25
9.34,640.62,200.0,0,200,25
9.38,631.98,200.0,0,200,25
9.41,616.52,200.0,0,200,25
9.46,601.7,200.0,0,200,25
9.52,591.23,200.0,0,200,25
9.54,589.82,200.0,0,200,25
9.58,593.49,200.0,0,200,25
9.64,603.37,200.0,0,200,25
9.65,617.05,200.0,0,200,25
9.71,629.27,200.0,0,200,25
9.74,638.84,200.0,0,200,25
9.78,641.49,200.0,0,200,25
9.81,637.83,200.0,0,200,25
9.86,623.99,200.0,0,200,25
9.9,609.01,200.0,0,200,25
9.95,595.63,200.0,0,200,25
10.0,589.3,200.0,0,200,25
10.0,589.32,200.0,0,200,25
10.06,593.8,200.0,0,200,25
10.11,607.26,200.0,0,200,25
10.13,619.88,200.0,0,200,25
10.16,629.88,200.0,0,200,25
10.23,636.99,200.0,0,200,25
10.26,637.85,200.0,0,200,25
10.28,632.07,200.0,0,200,25
10.33,617.12,200.0,0,200,25
10.37,604.72,200.0,0,200,25
10.43,592.03,200.0,0,200,25
10.45,588.79,200.0,0,200,25
10.51,588.43,200.0,0,200,25
10.52,597.32,200.0,0,200,25
10.58,608.6,200.0,0,200,25
10.63,620.57,200.0,0,200,25
10.65,630.26,200.0,0,200,25
10.7,633.84,200.0,0,200,25
10.75,634.27,200.0,0,200,25
10.79,626.12,200.0,0,200,25
10.83,611.18,200.0,0,200,25
10.85,597.89,200.0,0,200,25
10.88,587.76,200.0,0,200,25
10.95,584.33,200.0,0,200,25
10.97,586.72,200.0,0,200,25
11.03,596.13,200.0,0,200,25
11.07,607.41,200.0,0,200,25
11.09,617.44,200.0,0,200,25
11.15,626.78,200.0,0,200,25
11.18,629.94,200.0,0,200,25
11.24,627.46,200.0,0,200,25
11.28,617.83,200.0,0,200,25
11.3,604.07,200.0,0,200,25
11.33,592.09,200.0,0,200,25
11.38,585.29,200.0,0,200,25
11.42,581.68,200.0,0,200,25
11.49,584.8,200.0,0,200,25
11.52,597.81,200.0,0,200,25
11.52,609.9,200.0,0,200,25
11.57,620.77,200.0,0,200,25
11.6,627.82,200.0,0,200,25
11.63,629.66,200.0,0,200,25
11.67,618.75,200.0,0,200,25
11.67,604.11,200.0,0,200,25
11.68,585.87,200.0,0,200,25
11.71,572.29,200.0,0,200,25
11.72,566.02,200.0,0,200,25
11.74,566.47,200.0,0,200,25
11.75,573.97,200.0,0,200,25
11.76,585.39,200.0,0,200,25
11.76,598.2,200.0,0,200,25
11.76,606.48,200.0,0,200,25
11.81,612.69,200.0,0,200,25
11.77,613.64,200.0,0,200,25
11.78,607.09,200.0,0,200,25
11.78,592.83,200.0,0,200,25
11.78,580.18,200.0,0,200,25
11.77,569.88,200.0,0,200,25
11.79,566.63,200.0,0,200,25
11.8,568.71,200.0,0,200,25
11.82,577.62,200.0,0,200,25
11.83,588.83,200.0,0,200,25
11.82,600.01,200.0,0,200,25
11.81,605.81,200.0,0,200,25
11.83,610.8,200.0,0,200,25
12.12,607.67,200.0,0,200,25
12.09,598.11,200.0,0,200,25
12.07,584.91,200.0,0,200,25
12.07,572.17,200.0,0,200,25
12.06,565.22,200.0,0,200,25
12.03,562.39,200.0,0,200,25
12.0,567.51,200.0,0,200,25
11.98,580.25,200.0,0,200,25
11.93,593.52,200.0,0,200,25
11.89,605.07,200.0,0,200,25
11.88,612.98,200.0,0,200,25
11.82,615.34,200.0,0,200,25
11.81,611.69,200.0,0,200,25
11.77,600.1,200.0,0,200,25
11.73,587.93,200.0,0,200,25
11.67,576.53,200.0,0,200,25
11.67,570.89,200.0,0,200,25
11.62,569.31,200.0,0,200,25
11.57,575.3,200.0,0,200,25
11.55,587.54,200.0,0,200,25
11.54,597.39,200.0,0,200,25
11.49,609.06,200.0,0,200,25
11.46,614.22,200.0,0,200,25
11.4,616.52,200.0,0,200,25
11.38,609.63,200.0,0,200,25
11.33,599.17,200.0,0,200,25
11.29,583.9,200.0,0,200,25
11.26,570.89,200.0,0,200,25
11.23,567.05,200.0,0,200,25
11.19,567.73,200.0,0,200,25
11.13,577.42,200.0,0,200,25
11.1,590.98,200.0,0,200,25
11.05,603.07,200.0,0,200,25
11.03,614.24,200.0,0,200,25
10.99,618.22,200.0,0,200,25
10.93,614.77,200.0,0,200,25
10.9,605.67,200.0,0,200,25
10.86,590.08,200.0,0,200,25
10.84,577.33,200.0,0,200,25
10.8,570.08,200.0,0,200,25
10.77,567.2,200.0,0,200,25
10.71,573.14,200.0,0,200,25
10.67,583.61,200.0,0,200,25
10.65,596.43,200.0,0,200,25
10.6,608.88,200.0,0,200,25
10.55,613.48,200.0,0,200,25
10.54,614.72,200.0,0,200,25
10.47,610.12,200.0,0,200,25
10.43,596.7,200.0,0,200,25
10.41,585.32,200.0,0,200,25
10.37,574.86,200.0,0,200,25
10.32,571.22,200.0,0,200,25
10.28,573.73,200.0,0,200,25
10.25,580.1,200.0,0,200,25
10.21,589.86,200.0,0,200,25
10.17,602.51,200.0,0,200,25
10.13,610.89,200.0,0,200,25
10.1,614.71,200.0,0,200,25
10.06,613.93,200.0,0,200,25
10.0,606.38,200.0,0,200,25
9.97,593.83,200.0,0,200,25
9.93,581.37,200.0,0,200,25
9.89,574.09,200.0,0,200,25
9.84,570.73,200.0,0,200,25
9.8,573.36,200.0,0,200,25
9.8,581.78,200.0,0,200,25
9.73,591.93,200.0,0,200,25
9.7,603.15,200.0,0,200,25
9.66,612.05,200.0,0,200,25
9.6,614.78,200.0,0,200,25
9.59,614.01,200.0,0,200,25
9.53,603.12,200.0,0,200,25
9.47,591.39,200.0,0,200,25
9.43,580.17,200.0,0,200,25
9.43,573.42,200.0,0,200,25
9.37,572.2,200.0,0,200,25
9.33,577.61,200.0,0,200,25
9.3,586.77,200.0,0,200,25
9.27,598.7,200.0,0,200,25
9.23,609.79,200.0,0,200,25
9.17,616.51,200.0,0,200,25
9.14,616.89,200.0,0,200,25
9.1,610.05,200.0,0,200,25
9.05,599.57,200.0,0,200,25
9.02,585.08,200.0,0,200,25
8.98,576.09,200.0,0,200,25
8.95,570.57,200.0,0,200,25
8.87,571.91,200.0,0,200,25
8.84,579.55,200.0,0,200,25
8.8,592.02,200.0,0,200,25
8.78,604.99,200.0,0,200,25
8.71,615.53,200.0,0,200,25
8.68,621.54,200.0,0,200,25
8.65,619.68,200.0,0,200,25
8.63,609.22,200.0,0,200,25
8.56,595.58,200.0,0,200,25
8.55,581.58,200.0,0,200,25
8.5,573.6,200.0,0,200,25
8.47,571.97,200.0,0,200,25
8.41,575.65,200.0,0,200,25
8.38,587.63,200.0,0,200,25
8.32,599.47,200.0,0,200,25
8.28,611.43,200.0,0,200,25
8.28,618.71,200.0,0,200,25
8.21,620.06,200.0,0,200,25
8.15,614.22,200.0,0,200,25
8.13,599.62,200.0,0,200,25
8.12,586.54,200.0,0,200,25
8.05,577.37,200.0,0,200,25
8.02,573.58,200.0,0,200,25
7.97,575.33,200.0,0,200,25
7.95,583.77,200.0,0,200,25
7.91,595.74,200.0,0,200,25
7.86,606.12,200.0,0,200,25
7.83,616.49,200.0,0,200,25
7.79,619.76,200.0,0,200,25
7.75,615.58,200.0,0,200,25
7.69,607.29,200.0,0,200,25
7.66,591.23,200.0,0,200,25
7.61,579.63,200.0,0,200,25
7.57,573.6,200.0,0,200,25
7.53,572.73,200.0,0,200,25
7.49,578.82,200.0,0,200,25
7.44,587.66,200.0,0,200,25
7.42,599.54,200.0,0,200,25
7.39,608.8,200.0,0,200,25
7.33,614.9,200.0,0,200,25
7.3,615.07,200.0,0,200,25
7.27,606.91,200.0,0,200,25
7.22,595.38,200.0,0,200,25
7.17,582.17,200.0,0,200,25
7.15,572.25,200.0,0,200,25
7.09,569.57,200.0,0,200,25
7.07,572.32,200.0,0,200,25
7.03,578.59,200.0,0,200,25
6.97,590.97,200.0,0,200,25
6.93,599.33,200.0,0,200,25
6.87,605.84,200.0,0,200,25
6.87,611.79,200.0,0,200,25
6.81,610.93,200.0,0,200,25
6.77,603.0,200.0,0,200,25
6.74,590.25,200.0,0,200,25
6.69,575.92,200.0,0,200,25
6.65,569.23,200.0,0,200,25
6.61,566.54,200.0,0,200,25
