222N,,,667N,,,890N,,,1112N,,
SR,Fx [N],,SR,Fx [N],,SR,Fx [N],,SR,Fx [N],
0.07500,404.80000,,0.08900,1609.06000,,0.09400,2140.67000,,0.07700,2384.29000,
0.07400,394.55000,,0.08800,1588.49000,,0.09300,2121.17000,,0.07600,2357.83000,
0.07200,378.21000,,0.08600,1566.86000,,0.09300,2098.57000,,0.07500,2346.03000,
0.07100,361.42000,,0.08600,1547.17000,,0.09300,2070.29000,,0.07400,2354.96000,
0.07000,349.38000,,0.08700,1531.63000,,0.09200,2048.34000,,0.07300,2383.25000,
0.07100,332.07000,,0.08800,1511.28000,,0.09100,2043.92000,,0.07100,2412.84000,
0.07000,315.85000,,0.08800,1495.28000,,0.08900,2063.57000,,0.07000,2427.70000,
0.06800,306.34000,,0.08700,1493.07000,,0.08700,2099.31000,,0.06800,2415.28000,
0.06700,312.80000,,0.08600,1510.38000,,0.08600,2132.63000,,0.06600,2376.96000,
0.06500,336.37000,,0.08400,1540.58000,,0.08500,2149.33000,,0.06400,2332.95000,
0.06300,363.43000,,0.08200,1565.15000,,0.08500,2147.32000,,0.06300,2296.01000,
0.06200,383.78000,,0.08000,1573.33000,,0.08500,2132.61000,,0.06200,2272.69000,
0.06200,386.97000,,0.07800,1560.84000,,0.08500,2112.85000,,0.06200,2261.76000,
0.06100,376.41000,,0.07700,1538.77000,,0.08400,2084.48000,,0.06200,2261.65000,
0.06200,362.13000,,0.07700,1513.59000,,0.08400,2051.13000,,0.06100,2267.12000,
0.06200,352.64000,,0.07600,1488.29000,,0.08200,2017.81000,,0.06100,2279.87000,
0.06200,342.67000,,0.07600,1457.52000,,0.08000,1993.34000,,0.06000,2292.99000,
0.06200,328.47000,,0.07500,1426.72000,,0.07700,1992.52000,,0.05900,2307.64000,
0.06100,310.11000,,0.07300,1403.98000,,0.07500,2012.18000,,0.05700,2304.75000,
0.05900,302.07000,,0.07100,1402.86000,,0.07400,2040.57000,,0.05600,2279.43000,
0.05700,309.03000,,0.06900,1422.00000,,0.07300,2063.22000,,0.05400,2229.55000,
0.05500,331.87000,,0.06800,1450.27000,,0.07300,2068.62000,,0.05300,2175.21000,
0.05400,360.43000,,0.06800,1474.34000,,0.07300,2060.01000,,0.05200,2135.10000,
0.05300,376.25000,,0.06700,1479.48000,,0.07400,2044.65000,,0.05200,2112.28000,
0.05300,376.06000,,0.06800,1469.74000,,0.07400,2029.25000,,0.05200,2098.91000,
0.05100,360.17000,,0.06700,1449.55000,,0.07400,2009.94000,,0.05100,2081.20000,
0.05100,343.42000,,0.06800,1430.59000,,0.07400,1982.16000,,0.05000,2055.51000,
0.05000,329.06000,,0.06600,1407.48000,,0.07300,1957.40000,,0.04800,2028.76000,
0.04900,317.26000,,0.06600,1378.14000,,0.07100,1942.93000,,0.04600,2002.66000,
0.04700,298.66000,,0.06400,1352.01000,,0.06800,1949.50000,,0.04500,1989.66000,
0.04500,278.67000,,0.06200,1333.40000,,0.06700,1972.27000,,0.04400,1973.50000,
0.04300,269.84000,,0.06000,1340.28000,,0.06600,1997.66000,,0.04300,1951.44000,
0.04200,281.14000,,0.05900,1369.07000,,0.06400,2010.69000,,0.04200,1918.72000,
0.04100,307.18000,,0.05800,1406.28000,,0.06300,2001.26000,,0.04200,1885.06000,
0.04100,338.96000,,0.05800,1431.01000,,0.06200,1968.57000,,0.04200,1852.13000,
0.04200,357.30000,,0.05800,1429.84000,,0.06100,1922.30000,,0.04100,1819.18000,
0.04200,355.13000,,0.05600,1400.23000,,0.05900,1871.50000,,0.04000,1774.78000,
0.04200,338.61000,,0.05500,1356.50000,,0.05700,1822.22000,,0.03800,1721.27000,
0.04100,318.95000,,0.05300,1311.46000,,0.05600,1783.32000,,0.03600,1659.11000,
0.03900,302.79000,,0.05200,1266.42000,,0.05400,1757.48000,,0.03400,1611.66000,
0.03700,288.56000,,0.05000,1226.77000,,0.05300,1756.81000,,0.03300,1594.75000,
0.03600,269.82000,,0.04900,1195.50000,,0.05300,1778.34000,,0.03300,1610.06000,
0.03500,253.85000,,0.04700,1180.61000,,0.05300,1816.18000,,0.03300,1635.76000,
0.03400,250.15000,,0.04600,1186.08000,,0.05300,1844.19000,,0.03300,1650.30000,
0.03300,262.74000,,0.04600,1211.20000,,0.05200,1840.51000,,0.03300,1639.86000,
0.03200,290.40000,,0.04600,1243.52000,,0.05100,1796.29000,,0.03300,1605.63000,
0.03200,316.20000,,0.04600,1258.73000,,0.04800,1724.87000,,0.03200,1556.75000,
0.03100,330.37000,,0.04500,1244.34000,,0.04700,1652.23000,,0.03100,1498.49000,
0.03000,325.74000,,0.04400,1199.24000,,0.04500,1600.29000,,0.02900,1434.17000,
0.02800,303.17000,,0.04200,1138.46000,,0.04500,1572.67000,,0.02700,1364.90000,
0.02600,278.18000,,0.04000,1081.79000,,0.04500,1561.02000,,0.02500,1293.62000,
0.02400,255.98000,,0.03900,1039.28000,,0.04500,1560.47000,,0.02300,1242.74000,
0.02300,240.33000,,0.03700,1012.83000,,0.04400,1562.00000,,0.02300,1221.52000,
0.02200,224.92000,,0.03700,1007.30000,,0.04300,1564.32000,,0.02200,1228.36000,
0.02200,211.22000,,0.03800,1026.79000,,0.04200,1560.42000,,0.02200,1234.18000,
0.02100,206.52000,,0.03900,1060.59000,,0.04000,1548.63000,,0.02100,1208.68000,
0.02100,215.29000,,0.03900,1106.49000,,0.03800,1511.04000,,0.01900,1137.17000,
0.02100,238.13000,,0.03900,1138.40000,,0.03600,1453.83000,,0.01700,1030.52000,
0.02100,262.21000,,0.03800,1139.21000,,0.03500,1391.04000,,0.01500,912.39000,
0.02000,276.01000,,0.03700,1105.66000,,0.03500,1347.23000,,0.01300,800.22000,
0.01900,271.13000,,0.03500,1041.78000,,0.03600,1335.82000,,0.01200,706.75000,
0.01700,245.63000,,0.03200,970.26000,,0.03600,1346.64000,,0.01100,640.17000,
0.01600,215.73000,,0.03100,908.98000,,0.03600,1356.74000,,0.01100,609.02000,
0.01400,193.38000,,0.02900,867.87000,,0.03700,1354.43000,,0.01100,617.77000,
0.01400,177.84000,,0.02900,840.67000,,0.03600,1341.66000,,0.01100,668.01000,
0.01400,166.98000,,0.02800,827.91000,,0.03400,1317.76000,,0.01200,740.42000,
0.01400,157.56000,,0.02700,820.75000,,0.03200,1297.85000,,0.01200,793.89000,
0.01300,152.17000,,0.02600,823.60000,,0.03000,1268.46000,,0.01200,791.70000,
0.01300,153.69000,,0.02500,828.98000,,0.02900,1230.14000,,0.01000,722.54000,
0.01200,158.78000,,0.02400,831.80000,,0.02700,1173.19000,,0.00900,608.06000,
0.01000,168.42000,,0.02300,818.96000,,0.02500,1110.60000,,0.00700,485.36000,
0.01000,172.90000,,0.02200,783.34000,,0.02500,1067.97000,,0.00600,374.04000,
0.00800,164.62000,,0.02100,733.09000,,0.02500,1044.60000,,0.00500,285.08000,
0.00600,138.12000,,0.01900,675.91000,,0.02500,1031.34000,,0.00400,221.51000,
