222N,,,667N,,,890N,,,1112N,,
SR,Fx [N],,SR,Fx [N],,SR,Fx [N],,SR,Fx [N],
-0.13100,-372.17000,,-0.11600,-1614.16000,,-0.11100,-2110.01000,,-0.13100,-2590.53000,
-0.13300,-407.81000,,-0.11800,-1597.20000,,-0.11100,-2086.88000,,-0.13300,-2573.52000,
-0.13400,-436.13000,,-0.11900,-1585.47000,,-0.11000,-2065.20000,,-0.13300,-2555.98000,
-0.13400,-447.02000,,-0.12000,-1569.46000,,-0.11100,-2055.99000,,-0.13300,-2545.79000,
-0.13500,-437.47000,,-0.12100,-1550.97000,,-0.11200,-2063.14000,,-0.13400,-2548.04000,
-0.13600,-416.94000,,-0.12000,-1532.28000,,-0.11400,-2084.69000,,-0.13400,-2569.41000,
-0.13600,-400.35000,,-0.12000,-1517.47000,,-0.11500,-2116.54000,,-0.13500,-2603.23000,
-0.13600,-387.39000,,-0.12100,-1513.80000,,-0.11600,-2142.81000,,-0.13600,-2644.14000,
-0.13700,-378.76000,,-0.12200,-1527.14000,,-0.11800,-2157.09000,,-0.13600,-2678.86000,
-0.13700,-368.57000,,-0.12400,-1553.42000,,-0.11900,-2152.02000,,-0.13800,-2694.64000,
-0.13700,-356.54000,,-0.12500,-1585.46000,,-0.12100,-2141.98000,,-0.13900,-2697.38000,
-0.13800,-345.78000,,-0.12600,-1614.41000,,-0.12200,-2132.39000,,-0.14100,-2689.54000,
-0.14000,-341.81000,,-0.12700,-1627.26000,,-0.12300,-2126.38000,,-0.14300,-2680.79000,
-0.14200,-348.35000,,-0.12800,-1625.73000,,-0.12300,-2116.75000,,-0.14400,-2675.93000,
-0.14300,-366.02000,,-0.12900,-1611.96000,,-0.12300,-2096.52000,,-0.14500,-2673.73000,
-0.14300,-394.85000,,-0.13100,-1597.47000,,-0.12400,-2074.57000,,-0.14500,-2660.43000,
-0.14400,-429.30000,,-0.13100,-1585.93000,,-0.12600,-2054.85000,,-0.14500,-2637.52000,
-0.14400,-453.72000,,-0.13200,-1571.67000,,-0.12800,-2041.93000,,-0.14500,-2609.28000,
-0.14400,-455.35000,,-0.13300,-1554.00000,,-0.12900,-2049.03000,,-0.14600,-2580.75000,
-0.14600,-442.33000,,-0.13400,-1536.01000,,-0.13100,-2071.66000,,-0.14800,-2562.97000,
-0.14700,-419.73000,,-0.13600,-1523.15000,,-0.13100,-2109.07000,,-0.15000,-2562.42000,
-0.14900,-401.42000,,-0.13700,-1521.94000,,-0.13200,-2145.38000,,-0.15100,-2580.12000,
-0.15200,-391.04000,,-0.13800,-1536.53000,,-0.13300,-2165.30000,,-0.15200,-2611.50000,
-0.15400,-382.16000,,-0.13900,-1563.00000,,-0.13400,-2165.69000,,-0.15300,-2638.07000,
-0.15600,-372.99000,,-0.14000,-1597.74000,,-0.13500,-2155.98000,,-0.15300,-2652.09000,
-0.15700,-360.96000,,-0.14000,-1630.71000,,-0.13700,-2140.09000,,-0.15300,-2644.78000,
-0.15700,-348.96000,,-0.13900,-1648.86000,,-0.13900,-2132.43000,,-0.15200,-2630.95000,
-0.15800,-344.42000,,-0.14000,-1652.78000,,-0.14100,-2125.19000,,-0.15200,-2618.57000,
-0.15500,-433.84000,,-0.14100,-1647.22000,,-0.14200,-2114.65000,,-0.15200,-2606.30000,
-0.15400,-462.72000,,-0.14300,-1634.28000,,-0.14200,-2098.52000,,-0.15100,-2593.27000,
-0.15300,-472.91000,,-0.14500,-1627.39000,,-0.14300,-2085.80000,,-0.15200,-2567.91000,
-0.15300,-462.61000,,-0.14800,-1618.64000,,-0.14300,-2078.78000,,-0.15200,-2539.36000,
-0.15300,-438.60000,,-0.14900,-1609.49000,,-0.14300,-2081.94000,,-0.15200,-2510.59000,
-0.15300,-417.10000,,-0.15000,-1594.79000,,-0.14300,-2099.45000,,-0.15300,-2491.52000,
-0.15300,-401.43000,,-0.15100,-1579.78000,,-0.14300,-2129.12000,,-0.15400,-2488.48000,
-0.15400,-389.14000,,-0.15100,-1566.89000,,-0.14300,-2162.11000,,-0.15400,-2502.39000,
-0.15300,-376.04000,,-0.15200,-1565.06000,,-0.14300,-2189.08000,,-0.15400,-2532.68000,
-0.15200,-365.10000,,-0.15300,-1578.44000,,-0.14400,-2199.45000,,-0.15300,-2563.99000,
-0.15200,-353.46000,,-0.15400,-1606.11000,,-0.14700,-2195.79000,,-0.15300,-2587.24000,
-0.15300,-346.24000,,-0.15500,-1637.48000,,-0.14800,-2182.10000,,-0.15300,-2591.46000,
-0.15200,-348.95000,,-0.15600,-1661.99000,,-0.15000,-2172.71000,,-0.15300,-2578.20000,
-0.15300,-363.32000,,-0.15800,-1670.66000,,-0.15200,-2163.52000,,-0.15400,-2561.02000,
-0.15200,-392.35000,,-0.16000,-1663.08000,,-0.15300,-2149.78000,,-0.15500,-2544.97000,
-0.15200,-427.69000,,-0.16200,-1646.85000,,-0.15300,-2131.74000,,-0.15500,-2528.41000,
-0.15200,-455.09000,,-0.16300,-1629.83000,,-0.15200,-2110.20000,,-0.15600,-2509.88000,
-0.15200,-462.02000,,-0.16300,-1615.95000,,-0.15200,-2092.22000,,-0.15700,-2482.77000,
-0.15100,-449.55000,,-0.16300,-1586.15000,,-0.15100,-2087.23000,,-0.15700,-2459.75000,
-0.15100,-426.43000,,-0.16200,-1570.02000,,-0.15100,-2096.25000,,-0.15600,-2440.75000,
-0.15100,-405.69000,,-0.16100,-1553.18000,,-0.15100,-2120.88000,,-0.15600,-2429.83000,
-0.15000,-393.41000,,-0.16000,-1547.43000,,-0.15100,-2156.66000,,-0.15500,-2432.72000,
-0.14800,-383.94000,,-0.16000,-1552.32000,,-0.15200,-2187.07000,,-0.15500,-2448.87000,
-0.14700,-375.10000,,-0.16000,-1570.61000,,-0.15200,-2203.70000,,-0.15400,-2480.58000,
-0.14500,-363.06000,,-0.16000,-1597.98000,,-0.15300,-2198.58000,,-0.15400,-2511.66000,
-0.14400,-352.03000,,-0.16000,-1624.23000,,-0.15300,-2185.69000,,-0.15400,-2535.22000,
-0.14300,-347.07000,,-0.16000,-1643.35000,,-0.15300,-2170.92000,,-0.15400,-2539.00000,
-0.14400,-353.45000,,-0.15900,-1648.24000,,-0.15300,-2160.27000,,-0.15500,-2529.18000,
-0.14300,-374.59000,,-0.15900,-1639.27000,,-0.15500,-2107.23000,,-0.15500,-2513.49000,
-0.14300,-406.70000,,-0.15900,-1625.10000,,-0.15500,-2085.97000,,-0.15600,-2499.22000,
-0.14200,-442.22000,,-0.15900,-1611.50000,,-0.15500,-2061.57000,,-0.15600,-2484.76000,
-0.14000,-463.54000,,-0.16000,-1596.99000,,-0.15400,-2041.18000,,-0.15600,-2465.94000,
-0.13800,-468.06000,,-0.16100,-1580.25000,,-0.15400,-2031.52000,,-0.15600,-2438.76000,
-0.13700,-452.42000,,-0.16200,-1561.51000,,-0.15400,-2034.27000,,-0.15600,-2412.22000,
-0.13500,-432.51000,,-0.16200,-1541.51000,,-0.15400,-2052.40000,,-0.15700,-2390.15000,
-0.13400,-415.82000,,-0.16200,-1530.74000,,-0.15300,-2078.56000,,-0.15700,-2379.60000,
-0.13400,-406.03000,,-0.16200,-1525.83000,,-0.15300,-2110.38000,,-0.15700,-2385.67000,
-0.13400,-395.60000,,-0.16200,-1531.63000,,-0.15400,-2129.50000,,-0.15700,-2411.19000,
-0.13300,-381.97000,,-0.16100,-1549.93000,,-0.15400,-2133.13000,,-0.15600,-2446.99000,
-0.13100,-369.00000,,-0.16100,-1579.13000,,-0.15400,-2123.05000,,-0.15500,-2477.24000,
-0.13100,-359.87000,,-0.16000,-1610.52000,,-0.15400,-2108.20000,,-0.15500,-2493.61000,
-0.12900,-361.48000,,-0.15900,-1633.96000,,-0.15400,-2093.45000,,-0.15400,-2490.37000,
-0.12700,-375.24000,,-0.15900,-1639.50000,,-0.15300,-2080.47000,,-0.15400,-2478.78000,
-0.12500,-405.94000,,-0.15900,-1630.17000,,-0.15300,-2063.93000,,-0.15500,-2463.35000,
-0.12400,-441.82000,,-0.16000,-1609.21000,,-0.15200,-2043.12000,,-0.15500,-2449.03000,
-0.12200,-474.65000,,-0.16100,-1587.01000,,-0.15200,-2021.01000,,-0.15600,-2432.66000,
-0.12100,-486.42000,,-0.16200,-1565.10000,,-0.15200,-2002.36000,,-0.15600,-2415.39000,
-0.12100,-476.07000,,-0.16200,-1545.65000,,-0.15300,-1991.15000,,-0.15600,-2398.25000,
-0.12000,-456.14000,,-0.16100,-1525.87000,,-0.15400,-1993.10000,,-0.15500,-2386.68000,
-0.12100,-434.98000,,-0.16200,-1506.79000,,-0.15400,-2012.88000,,-0.15400,-2382.67000,
-0.12000,-421.08000,,-0.16100,-1494.16000,,-0.15400,-2044.23000,,-0.15200,-2389.45000,
-0.11800,-410.21000,,-0.16200,-1486.94000,,-0.15300,-2077.51000,,-0.15100,-2407.65000,
-0.11600,-399.00000,,-0.16100,-1494.25000,,-0.15200,-2097.25000,,-0.14900,-2444.61000,
-0.11400,-386.86000,,-0.16200,-1515.23000,,-0.15000,-2101.83000,,-0.14700,-2480.94000,
-0.11300,-376.84000,,-0.16200,-1547.36000,,-0.14900,-2095.92000,,-0.14600,-2511.80000,
-0.11300,-374.31000,,-0.16100,-1582.67000,,-0.14800,-2084.58000,,-0.14600,-2524.04000,
-0.11300,-387.41000,,-0.16100,-1601.57000,,-0.14600,-2079.08000,,-0.14500,-2517.60000,
-0.11400,-412.61000,,-0.16000,-1603.01000,,-0.14600,-2073.27000,,-0.14500,-2510.33000,
-0.11300,-448.97000,,-0.16000,-1589.12000,,-0.14500,-2059.72000,,-0.14500,-2500.84000,
-0.11300,-482.67000,,-0.16000,-1567.62000,,-0.14400,-2039.37000,,-0.14400,-2502.55000,
-0.11200,-499.10000,,-0.16100,-1553.01000,,-0.14400,-2021.87000,,-0.14200,-2501.71000,
-0.11100,-493.07000,,-0.16100,-1535.51000,,-0.14400,-2007.19000,,-0.14000,-2498.41000,
-0.10900,-472.79000,,-0.16100,-1521.65000,,-0.14300,-2002.81000,,-0.13900,-2489.37000,
-0.10700,-452.58000,,-0.16100,-1507.00000,,-0.14300,-2016.44000,,-0.13800,-2477.00000,
-0.10600,-437.55000,,-0.16100,-1488.58000,,-0.14100,-2048.58000,,-0.13600,-2466.48000,
-0.10400,-428.33000,,-0.16000,-1477.35000,,-0.13900,-2086.31000,,-0.13600,-2473.27000,
-0.10300,-416.62000,,-0.16000,-1472.02000,,-0.13700,-2119.83000,,-0.13600,-2499.29000,
-0.10200,-402.88000,,-0.16100,-1482.48000,,-0.13500,-2135.00000,,-0.13500,-2537.50000,
-0.10100,-387.77000,,-0.16000,-1507.39000,,-0.13300,-2135.50000,,-0.13400,-2573.32000,
-0.10100,-381.93000,,-0.15800,-1541.09000,,-0.13300,-2128.68000,,-0.13300,-2594.06000,
-0.10000,-388.52000,,-0.15600,-1575.44000,,-0.13300,-2121.92000,,-0.13200,-2595.15000,
-0.09900,-413.49000,,-0.15500,-1595.68000,,-0.13300,-2113.08000,,-0.13100,-2584.88000,
-0.09700,-449.52000,,-0.15300,-1598.78000,,-0.13400,-2100.20000,,-0.12900,-2571.07000,
-0.09500,-482.04000,,-0.15200,-1587.06000,,-0.13200,-2077.94000,,-0.12800,-2555.58000,
-0.09400,-496.75000,,-0.15100,-1571.50000,,-0.13100,-2056.70000,,-0.12700,-2539.38000,
-0.09300,-491.55000,,-0.15100,-1558.89000,,-0.12900,-2042.35000,,-0.12700,-2518.38000,
-0.09300,-474.35000,,-0.15100,-1548.11000,,-0.12800,-2039.02000,,-0.12700,-2495.29000,
-0.09300,-455.87000,,-0.15100,-1535.05000,,-0.12700,-2053.04000,,-0.12700,-2478.35000,
-0.09300,-440.48000,,-0.14900,-1517.52000,,-0.12500,-2082.64000,,-0.12600,-2468.47000,
-0.09200,-428.00000,,-0.14700,-1502.31000,,-0.12400,-2119.29000,,-0.12500,-2471.42000,
-0.09000,-412.08000,,-0.14600,-1498.89000,,-0.12400,-2152.03000,,-0.12300,-2488.98000,
-0.08900,-395.03000,,-0.14500,-1506.51000,,-0.12300,-2165.26000,,-0.12100,-2516.86000,
-0.08600,-383.20000,,-0.14400,-1527.04000,,-0.12200,-2163.94000,,-0.11900,-2547.43000,
-0.08500,-379.18000,,-0.14300,-1564.36000,,-0.12000,-2151.56000,,-0.11600,-2564.45000,
-0.08400,-391.39000,,-0.14200,-1604.52000,,-0.11900,-2136.76000,,-0.11500,-2565.14000,
-0.08200,-418.45000,,-0.14100,-1639.60000,,-0.11800,-2124.35000,,-0.11400,-2558.49000,
-0.08200,-453.14000,,-0.14100,-1653.55000,,-0.11700,-2111.03000,,-0.11300,-2544.92000,
-0.08100,-482.18000,,-0.14000,-1649.43000,,-0.11500,-2096.26000,,-0.11200,-2534.24000,
-0.08000,-490.84000,,-0.14000,-1638.24000,,-0.11500,-2080.71000,,-0.11100,-2517.13000,
-0.07900,-477.08000,,-0.14000,-1619.38000,,-0.11500,-2067.44000,,-0.10900,-2495.37000,
-0.07800,-454.83000,,-0.13900,-1604.24000,,-0.11500,-2056.93000,,-0.10800,-2470.95000,
-0.07600,-434.42000,,-0.13700,-1593.64000,,-0.11500,-2063.26000,,-0.10600,-2452.00000,
-0.07500,-420.23000,,-0.13500,-1577.64000,,-0.11400,-2076.17000,,-0.10500,-2445.91000,
-0.07500,-406.87000,,-0.13300,-1562.39000,,-0.11200,-2102.09000,,-0.10400,-2452.29000,
-0.07400,-390.21000,,-0.13200,-1552.52000,,-0.11000,-2124.29000,,-0.10300,-2470.94000,
-0.07400,-372.99000,,-0.13200,-1547.55000,,-0.10800,-2137.74000,,-0.10300,-2495.76000,
-0.07500,-359.62000,,-0.13100,-1558.06000,,-0.10600,-2135.10000,,-0.10200,-2519.81000,
-0.07600,-363.02000,,-0.13100,-1580.72000,,-0.10400,-2122.73000,,-0.10200,-2534.98000,
-0.07600,-378.79000,,-0.12900,-1615.53000,,-0.10400,-2108.79000,,-0.10100,-2535.94000,
-0.07600,-409.32000,,-0.12700,-1646.97000,,-0.10400,-2097.13000,,-0.10100,-2524.54000,
-0.07400,-442.03000,,-0.12500,-1663.91000,,-0.10400,-2081.56000,,-0.10000,-2506.82000,
-0.07200,-462.43000,,-0.12400,-1663.92000,,-0.10400,-2063.07000,,-0.10000,-2490.35000,
-0.07000,-463.58000,,-0.12200,-1651.00000,,-0.10300,-2040.04000,,-0.09900,-2469.27000,
-0.06800,-446.55000,,-0.12200,-1635.87000,,-0.10100,-2018.59000,,-0.09700,-2445.59000,
-0.06600,-424.88000,,-0.12200,-1623.96000,,-0.10000,-2008.21000,,-0.09600,-2421.28000,
-0.06500,-405.22000,,-0.12200,-1613.90000,,-0.09800,-2009.45000,,-0.09500,-2400.05000,
-0.06400,-391.54000,,-0.12100,-1597.47000,,-0.09600,-2026.17000,,-0.09500,-2392.13000,
-0.06300,-375.01000,,-0.12000,-1577.80000,,-0.09400,-2048.56000,,-0.09400,-2392.10000,
-0.06300,-355.10000,,-0.11900,-1557.62000,,-0.09300,-2071.53000,,-0.09200,-2402.89000,
-0.06200,-339.37000,,-0.11800,-1544.93000,,-0.09300,-2086.31000,,-0.08900,-2417.89000,
-0.06200,-334.82000,,-0.11600,-1546.59000,,-0.09200,-2084.58000,,-0.08800,-2432.25000,
-0.06200,-344.01000,,-0.11400,-1564.76000,,-0.09200,-2070.96000,,-0.08600,-2437.31000,
-0.06000,-366.34000,,-0.11200,-1591.70000,,-0.09100,-2053.65000,,-0.08400,-2434.71000,
-0.05800,-397.36000,,-0.11100,-1621.63000,,-0.09100,-2033.63000,,-0.08400,-2424.27000,
-0.05600,-425.08000,,-0.10900,-1641.87000,,-0.08900,-2008.57000,,-0.08400,-2417.50000,
-0.05500,-435.51000,,-0.10900,-1644.71000,,-0.08600,-1978.14000,,-0.08400,-2400.25000,
-0.05400,-430.94000,,-0.10800,-1634.23000,,-0.08500,-1952.80000,,-0.08300,-2377.99000,
-0.05400,-416.30000,,-0.10800,-1619.15000,,-0.08400,-1937.02000,,-0.08400,-2353.93000,
-0.05400,-399.36000,,-0.10700,-1603.81000,,-0.08300,-1938.19000,,-0.08300,-2333.41000,
-0.05300,-381.57000,,-0.10500,-1589.50000,,-0.08300,-1952.62000,,-0.08300,-2319.62000,
-0.05200,-360.54000,,-0.10400,-1569.15000,,-0.08300,-1972.86000,,-0.08300,-2316.07000,
-0.05000,-335.42000,,-0.10100,-1545.55000,,-0.08200,-1996.29000,,-0.08200,-2321.37000,
-0.04800,-312.54000,,-0.10000,-1527.14000,,-0.08200,-2011.56000,,-0.08000,-2329.21000,
-0.04700,-299.88000,,-0.10000,-1521.88000,,-0.08100,-2011.84000,,-0.07800,-2338.72000,
-0.04500,-306.00000,,-0.10000,-1532.38000,,-0.08100,-2000.73000,,-0.07600,-2346.14000,
-0.04400,-326.62000,,-0.10100,-1553.78000,,-0.08000,-1980.57000,,-0.07500,-2345.50000,
-0.04300,-358.15000,,-0.10100,-1582.99000,,-0.07800,-1956.45000,,-0.07500,-2341.58000,
-0.04200,-388.56000,,-0.10100,-1606.71000,,-0.07700,-1931.13000,,-0.07400,-2332.69000,
-0.04200,-402.28000,,-0.10000,-1617.30000,,-0.07600,-1903.00000,,-0.07400,-2318.02000,
-0.04100,-396.33000,,-0.09900,-1612.52000,,-0.07400,-1876.03000,,-0.07300,-2289.88000,
-0.04000,-380.99000,,-0.09800,-1594.94000,,-0.07400,-1854.36000,,-0.07100,-2251.02000,
-0.03800,-356.64000,,-0.09700,-1573.01000,,-0.07300,-1845.59000,,-0.07000,-2214.10000,
-0.03700,-331.36000,,-0.09500,-1554.31000,,-0.07200,-1847.49000,,-0.06800,-2186.57000,
-0.03600,-305.51000,,-0.09300,-1535.48000,,-0.07100,-1855.86000,,-0.06600,-2173.76000,
-0.03400,-281.03000,,-0.09200,-1514.75000,,-0.06900,-1866.21000,,-0.06500,-2176.40000,
-0.03300,-262.88000,,-0.09000,-1495.02000,,-0.06600,-1871.67000,,-0.06500,-2191.96000,
-0.03300,-259.59000,,-0.08900,-1478.96000,,-0.06500,-1872.84000,,-0.06500,-2213.63000,
-0.03300,-270.04000,,-0.08800,-1472.73000,,-0.06400,-1866.76000,,-0.06400,-2232.29000,
-0.03300,-291.81000,,-0.08700,-1480.07000,,-0.06400,-1858.33000,,-0.06300,-2237.24000,
-0.03300,-322.04000,,-0.08600,-1493.62000,,-0.06300,-1841.05000,,-0.06300,-2232.04000,
-0.03200,-346.47000,,-0.08400,-1510.72000,,-0.06300,-1817.88000,,-0.06200,-2214.59000,
-0.03100,-356.66000,,-0.08200,-1528.70000,,-0.06100,-1783.02000,,-0.06100,-2186.73000,
-0.03000,-349.09000,,-0.08100,-1536.56000,,-0.05900,-1743.40000,,-0.05900,-2151.97000,
-0.02800,-330.10000,,-0.08100,-1532.49000,,-0.05800,-1713.46000,,-0.05800,-2112.89000,
-0.02700,-304.67000,,-0.08100,-1519.43000,,-0.05600,-1699.60000,,-0.05600,-2085.23000,
-0.02500,-277.43000,,-0.08100,-1508.95000,,-0.05500,-1698.51000,,-0.05400,-2066.73000,
-0.02300,-248.10000,,-0.08100,-1495.67000,,-0.05400,-1707.72000,,-0.05400,-2065.49000,
-0.02200,-221.96000,,-0.08100,-1477.04000,,-0.05300,-1723.19000,,-0.05400,-2070.87000,
-0.02100,-204.19000,,-0.07900,-1453.18000,,-0.05300,-1741.39000,,-0.05300,-2081.04000,
-0.02000,-196.93000,,-0.07800,-1429.66000,,-0.05300,-1756.80000,,-0.05300,-2085.96000,
-0.01900,-199.92000,,-0.07600,-1413.69000,,-0.05300,-1761.89000,,-0.05200,-2088.48000,
-0.01800,-207.90000,,-0.07500,-1409.82000,,-0.05300,-1757.45000,,-0.05000,-2078.98000,
-0.01600,-218.02000,,-0.07300,-1418.93000,,-0.05300,-1740.05000,,-0.04800,-2057.26000,
-0.01500,-230.69000,,-0.07100,-1434.36000,,-0.05200,-1707.44000,,-0.04700,-2028.99000,
-0.01400,-236.89000,,-0.06900,-1451.51000,,-0.05000,-1665.59000,,-0.04700,-2003.72000,
-0.01400,-240.37000,,-0.06900,-1464.53000,,-0.04800,-1619.94000,,-0.04600,-1980.09000,
-0.01400,-236.47000,,-0.06800,-1469.28000,,-0.04700,-1586.19000,,-0.04600,-1958.73000,
-0.01400,-220.27000,,-0.06800,-1464.21000,,-0.04600,-1570.92000,,-0.04600,-1938.53000,
-0.01300,-196.88000,,-0.06800,-1449.35000,,-0.04500,-1569.40000,,-0.04600,-1924.88000,
-0.01200,-161.07000,,-0.06800,-1432.00000,,-0.04500,-1570.58000,,-0.04500,-1918.44000,
-0.01100,-120.23000,,-0.06600,-1408.34000,,-0.04300,-1564.56000,,-0.04500,-1912.11000,
-0.00800,-92.12000,,-0.06500,-1377.59000,,-0.04200,-1547.23000,,-0.04300,-1894.36000,
-0.00700,-78.82000,,-0.06300,-1350.72000,,-0.04000,-1516.47000,,-0.04100,-1860.61000,
-0.00600,-80.12000,,-0.06100,-1332.85000,,-0.03800,-1476.24000,,-0.03900,-1817.29000,
-0.00500,-88.62000,,-0.06100,-1333.88000,,-0.03700,-1431.20000,,-0.03700,-1773.75000,
-0.00400,-96.82000,,-0.06000,-1350.91000,,-0.03600,-1391.37000,,-0.03600,-1741.81000,
-0.00300,-104.25000,,-0.05900,-1369.09000,,-0.03500,-1350.09000,,-0.03500,-1720.93000,
-0.00300,-109.13000,,-0.05900,-1388.16000,,-0.03400,-1310.26000,,-0.03500,-1707.53000,
-0.00300,-108.65000,,-0.05700,-1397.93000,,-0.03300,-1278.14000,,-0.03500,-1681.71000,
-0.00200,-97.44000,,-0.05600,-1395.36000,,-0.03300,-1264.09000,,-0.03400,-1631.90000,
-0.00200,-67.35000,,-0.05400,-1381.93000,,-0.03300,-1267.13000,,-0.03200,-1566.59000,
0.00000,-17.90000,,-0.05300,-1359.88000,,-0.03300,-1276.50000,,-0.03100,-1503.18000,
0.00200,41.13000,,-0.05200,-1329.85000,,-0.03200,-1274.63000,,-0.02900,-1454.13000,
0.00400,88.36000,,-0.05100,-1303.82000,,-0.03100,-1252.15000,,-0.02800,-1422.95000,
0.00600,107.75000,,-0.05000,-1279.13000,,-0.02900,-1214.54000,,-0.02700,-1405.75000,
0.00700,100.70000,,-0.05000,-1264.10000,,-0.02800,-1171.56000,,-0.02600,-1385.97000,
0.00600,79.34000,,-0.04900,-1258.64000,,-0.02600,-1138.29000,,-0.02500,-1367.82000,
0.00700,56.37000,,-0.04900,-1259.85000,,-0.02600,-1109.68000,,-0.02400,-1344.00000,
0.00600,38.10000,,-0.04800,-1259.66000,,-0.02500,-1085.09000,,-0.02300,-1305.20000,
0.00600,30.24000,,-0.04700,-1250.70000,,-0.02500,-1050.98000,,-0.02200,-1247.68000,
0.00700,32.76000,,-0.04600,-1240.06000,,-0.02400,-1004.21000,,-0.02100,-1173.66000,
0.00800,49.53000,,-0.04400,-1232.04000,,-0.02300,-956.03000,,-0.01900,-1084.28000,
0.00900,84.61000,,-0.04300,-1223.34000,,-0.02200,-914.35000,,-0.01800,-996.27000,
0.01100,136.82000,,-0.04200,-1212.10000,,-0.02000,-883.72000,,-0.01700,-928.03000,
0.01300,195.40000,,-0.04100,-1193.26000,,-0.01900,-853.74000,,-0.01600,-895.65000,
0.01500,243.90000,,-0.04100,-1166.47000,,-0.01800,-814.81000,,-0.01600,-897.90000,
0.01600,268.14000,,-0.04000,-1134.87000,,-0.01600,-769.01000,,-0.01600,-913.70000,
0.01800,265.48000,,-0.03900,-1101.37000,,-0.01500,-733.19000,,-0.01500,-922.50000,
0.01800,256.48000,,-0.03800,-1068.90000,,-0.01400,-709.82000,,-0.01400,-911.58000,
0.01900,250.77000,,-0.03700,-1043.49000,,-0.01400,-698.00000,,-0.01400,-882.86000,
0.02100,255.13000,,-0.03600,-1025.14000,,-0.01400,-686.92000,,-0.01300,-837.29000,
0.02200,261.96000,,-0.03500,-1012.57000,,-0.01400,-661.63000,,-0.01200,-775.28000,
0.02400,270.06000,,-0.03400,-1005.02000,,-0.01300,-612.12000,,-0.01100,-699.41000,
0.02600,280.54000,,-0.03200,-998.06000,,-0.01100,-534.89000,,-0.01000,-607.48000,
0.02700,298.17000,,-0.03100,-1000.07000,,-0.01000,-451.35000,,-0.00800,-505.89000,
0.02700,323.98000,,-0.03100,-1004.37000,,-0.00800,-378.66000,,-0.00700,-411.91000,
0.02800,355.17000,,-0.03100,-1003.88000,,-0.00700,-329.97000,,-0.00600,-349.54000,
0.02800,377.47000,,-0.03100,-992.18000,,-0.00600,-301.14000,,-0.00600,-329.25000,
0.02900,380.77000,,-0.03000,-964.91000,,-0.00500,-281.35000,,-0.00500,-321.63000,
0.02900,372.72000,,-0.02900,-917.58000,,-0.00500,-271.11000,,-0.00500,-292.02000,
0.02900,360.37000,,-0.02700,-858.82000,,-0.00500,-259.45000,,-0.00300,-224.22000,
0.03100,352.88000,,-0.02600,-805.86000,,-0.00400,-237.89000,,-0.00100,-125.69000,
0.03200,351.59000,,-0.02500,-780.35000,,-0.00300,-197.32000,,0.00000,-17.66000,
0.03400,348.10000,,-0.02400,-781.79000,,-0.00200,-124.19000,,0.00100,78.96000,
0.03500,337.13000,,-0.02400,-797.99000,,0.00000,-14.89000,,0.00200,160.25000,
0.03500,329.40000,,-0.02300,-806.78000,,0.00200,124.02000,,0.00200,231.40000,
0.03500,330.35000,,-0.02200,-805.62000,,0.00300,261.88000,,0.00300,301.22000,
0.03400,343.01000,,-0.02100,-798.54000,,0.00500,370.59000,,0.00300,366.96000,
0.03500,368.53000,,-0.02000,-784.07000,,0.00600,425.98000,,0.00400,411.23000,
0.03500,396.48000,,-0.01900,-758.02000,,0.00600,438.62000,,0.00400,430.82000,
0.03700,410.61000,,-0.01800,-712.60000,,0.00500,428.78000,,0.00500,440.45000,
0.03800,408.84000,,-0.01700,-650.86000,,0.00700,423.95000,,0.00600,472.86000,
0.04000,397.74000,,-0.01600,-577.65000,,0.00700,436.62000,,0.00800,543.48000,
0.04200,387.36000,,-0.01300,-506.81000,,0.00700,472.05000,,0.00900,644.33000,
0.04300,378.96000,,-0.01200,-452.95000,,0.00800,532.56000,,0.01100,750.78000,
0.04500,367.52000,,-0.01100,-425.80000,,0.01000,610.81000,,0.01200,843.30000,
0.04500,349.49000,,-0.01100,-415.80000,,0.01100,709.45000,,0.01200,905.16000,
0.04500,337.58000,,-0.01000,-401.19000,,0.01200,817.95000,,0.01200,939.85000,
0.04500,343.64000,,-0.00700,-368.78000,,0.01300,909.98000,,0.01200,961.73000,
0.04500,365.22000,,-0.00600,-315.69000,,0.01400,968.51000,,0.01200,982.16000,
0.04700,398.16000,,-0.00400,-249.28000,,0.01400,974.03000,,0.01200,1011.04000,
0.04900,427.67000,,-0.00200,-182.43000,,0.01300,944.47000,,0.01300,1042.09000,
0.05100,440.25000,,-0.00100,-119.87000,,0.01300,906.87000,,0.01400,1076.40000,
0.05300,431.09000,,0.00000,-62.20000,,0.01400,887.44000,,0.01500,1113.21000,
0.05400,414.34000,,0.00000,-12.58000,,0.01400,896.36000,,0.01700,1156.67000,
0.05500,399.30000,,0.00000,32.82000,,0.01500,929.53000,,0.01800,1202.26000,
0.05600,384.55000,,0.00000,59.74000,,0.01600,977.35000,,0.01800,1232.51000,
0.05600,367.44000,,-0.00100,54.52000,,0.01700,1029.41000,,0.01800,1244.32000,
0.05700,352.02000,,-0.00100,22.82000,,0.01800,1083.92000,,0.01800,1242.52000,
0.05800,345.66000,,-0.00100,-10.37000,,0.01900,1139.27000,,0.01800,1255.19000,
0.05900,356.17000,,0.00000,-11.42000,,0.01900,1184.40000,,0.01900,1309.31000,
0.06000,385.64000,,0.00100,29.09000,,0.02000,1212.92000,,0.02100,1406.18000,
